L 11/24/2020 - 08:04:46: Log file started (file "cstrike/addons/amxmodx/logs/antireklama.log") (game "cstrike") (amx "1.9.0.5271")
L 12/11/2020 - 09:44:12: Nick: ne Kwazi | ID: STEAM_1:0:259933706 | IP: 213.111.129.73 | Country: error | uww2222222222222222222222222
L 12/11/2020 - 11:18:40: Nick: (1)K P A C U B O | ID: STEAM_1:0:512294626 | IP: 178.129.39.50 | Country: error | 444444444444444444444444444444444444444444444444444444
L 12/11/2020 - 11:18:43: Nick: P I K N I K | ID: STEAM_1:0:1138770822 | IP: 145.255.1.235 | Country: error | 777777777777
L 12/11/2020 - 12:11:19: Nick: vfbc | ID: STEAM_0:1:187501600 | IP: 178.204.232.167 | Country: error | 666666666666666666666666666666666
L 12/11/2020 - 12:11:23: Nick: vfbc | ID: STEAM_0:1:187501600 | IP: 178.204.232.167 | Country: error | н66666666666666666666666
L 12/11/2020 - 12:11:31: Nick: vfbc | ID: STEAM_0:1:187501600 | IP: 178.204.232.167 | Country: error | 66666666666666666666666666
L 12/11/2020 - 12:11:44: Nick: vfbc | ID: STEAM_0:1:187501600 | IP: 178.204.232.167 | Country: error | 7777777777777777777777777777777
L 12/11/2020 - 12:11:51: Nick: vfbc | ID: STEAM_0:1:187501600 | IP: 178.204.232.167 | Country: error | 99999999999999999999999999999999999
L 12/11/2020 - 12:15:24: Nick: vfbc | ID: STEAM_0:1:187501600 | IP: 178.204.232.167 | Country: error | 333333333333333333333333333
L 12/11/2020 - 12:15:36: Nick: vfbc | ID: STEAM_0:1:187501600 | IP: 178.204.232.167 | Country: error | 999999999999999999999999999999
L 12/11/2020 - 12:15:39: Nick: vfbc | ID: STEAM_0:1:187501600 | IP: 178.204.232.167 | Country: error | 9999999999999999999999999
L 12/11/2020 - 12:42:34: Nick: P I K N I K | ID: STEAM_1:0:1138770822 | IP: 145.255.1.235 | Country: error | 777777777777777777777
L 12/11/2020 - 12:48:55: Nick: P I K N I K | ID: STEAM_1:0:1138770822 | IP: 145.255.1.235 | Country: error | 7 7 7  7 77 7 7 7 7 7  7
L 12/11/2020 - 12:50:00: Nick: P I K N I K | ID: STEAM_1:0:1138770822 | IP: 145.255.1.235 | Country: error | 7 77 7 7 7 7 77 7 7 7 7 77 77 7 7 7 7 7 
L 12/11/2020 - 16:19:51: Nick: [VIP]-3ае4kаа | ID: STEAM_1:0:706951346 | IP: 95.71.157.55 | Country: error | 555555555555555555
L 12/11/2020 - 22:13:37: Nick: [VIP]-3ае4kаа | ID: STEAM_1:0:706951346 | IP: 95.71.157.55 | Country: error | 3333333333333
L 12/11/2020 - 23:17:35: Nick: Roman Banan | ID: STEAM_1:0:1678381437 | IP: 45.151.238.3 | Country: error | 666666666666666666666666666
L 12/11/2020 - 23:25:45: Nick: Roman Banan | ID: STEAM_1:0:1678381437 | IP: 45.151.238.3 | Country: error | 6666666666666
L 12/12/2020 - 00:23:36: Nick: 712345678910110120130 | ID: STEAM_1:0:368074091 | IP: 194.187.155.226 | Country: error | The advertisement was in the name...
L 12/12/2020 - 15:00:27: Nick: Roman Banan | ID: STEAM_1:0:1678381437 | IP: 45.151.238.170 | Country: error | 666666666666666666
L 12/12/2020 - 16:19:09: Nick: jenika 61 | ID: STEAM_1:0:1019377618 | IP: 93.178.102.81 | Country: error | 33333333333333
L 12/12/2020 - 16:19:37: Nick: jenika 61 | ID: STEAM_1:0:1019377618 | IP: 93.178.102.81 | Country: error | 333333333333333
L 12/12/2020 - 16:21:37: Nick: 1,2,3,4,5,6,7, | ID: STEAM_1:0:1941552105 | IP: 5.44.170.41 | Country: error | 777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777
L 12/12/2020 - 16:44:42: Nick: [VIP]-3ае4kаа | ID: STEAM_1:0:706951346 | IP: 92.49.152.246 | Country: error | 5555555555555555
L 12/13/2020 - 13:16:40: Nick: ~зрячий~ | ID: STEAM_1:0:1622576589 | IP: 95.47.255.10 | Country: error | 444444444444444444444
L 12/13/2020 - 14:28:27: Nick: ФАНАТ SNOKI НОМЕР 1 | ID: STEAM_1:0:1622576589 | IP: 95.47.255.10 | Country: error | 88888888888888888888
L 12/13/2020 - 15:04:10: Nick: FANAT SNOKI 1 | ID: STEAM_1:0:1494252981 | IP: 94.233.13.205 | Country: error | 7777777777777777
L 12/13/2020 - 19:44:34: Nick: FANAT SNOKI 1 | ID: STEAM_1:0:4427181 | IP: 77.121.189.47 | Country: error | 88888888888888
L 12/13/2020 - 20:52:12: Nick: So Goud | ID: STEAM_1:0:2038992805 | IP: 195.211.253.212 | Country: error | 88888888888888888
L 12/14/2020 - 06:31:44: Nick: (1)FANAT SNOKI 1 | ID: STEAM_1:0:345751003 | IP: 5.251.0.84 | Country: error | 8888888888888
L 12/14/2020 - 13:56:12: Nick: palik | ID: STEAM_1:0:340063938 | IP: 178.121.77.112 | Country: error | чюваки заходите на этот сервер 46 174 54 188 27045
L 12/14/2020 - 15:35:52: Nick: BOMBist | ID: STEAM_1:0:525850215 | IP: 85.93.49.122 | Country: error | 1533333333333
L 12/14/2020 - 15:36:07: Nick: BOMBist | ID: STEAM_1:0:525850215 | IP: 85.93.49.122 | Country: error | 1333333333333333333
L 12/14/2020 - 15:36:16: Nick: BOMBist | ID: STEAM_1:0:525850215 | IP: 85.93.49.122 | Country: error | 1.111111111111111111111111111111111111
L 12/14/2020 - 15:36:25: Nick: BOMBist | ID: STEAM_1:0:525850215 | IP: 85.93.49.122 | Country: error | 1333333333333333333333333
L 12/14/2020 - 17:51:02: Nick: Roman Banan | ID: STEAM_1:0:1678381437 | IP: 45.151.239.148 | Country: error | 5555555555555555
L 12/15/2020 - 16:03:34: Nick: (2)FANAT SNOKI 2 | ID: STEAM_1:0:340063938 | IP: 178.121.77.112 | Country: error | ЧЮВАКИ ЗАХОДИТЕ НА СЕРВРЕВ АЙПИ 46 174 54 188 27045
L 12/15/2020 - 16:32:22: Nick: (4)FANAT SNOKI 2 | ID: STEAM_1:0:1494252981 | IP: 94.233.13.205 | Country: error | rr,gw[=4pte-=p-=pppppppp50000000000000000000yoo000000000006,,r09=ry999
L 12/15/2020 - 17:08:30: Nick: ФАНАТ SNOKI НОМЕР 1 | ID: STEAM_1:0:1622576589 | IP: 95.47.255.10 | Country: error | 1111111111111111111111111111111111111
L 12/15/2020 - 20:27:31: Nick: (1)FANAT SNOKI 2 | ID: STEAM_1:0:345751003 | IP: 178.91.79.251 | Country: error | 11111111111111111111111111111
L 12/16/2020 - 19:59:27: Nick: (1)FANAT SNOKI 2 | ID: STEAM_1:0:321378097 | IP: 149.27.137.72 | Country: error | я дам 100000000000
L 12/16/2020 - 21:54:24: Nick: (1)FANAT SNOKI 2 | ID: STEAM_1:0:1903772661 | IP: 194.44.201.147 | Country: error | 111111111111111111111111111111111111111111111111111111
L 12/17/2020 - 18:52:20: Nick: palik | ID: STEAM_1:0:340063938 | IP: 178.121.77.112 | Country: error | ЧЮВАКИ ЗАХОДИТЕ НА  СЕРВЕР АЙПИ 46 174 54 188 27045
L 12/17/2020 - 21:45:41: Nick: КracS | ID: STEAM_1:0:2007284428 | IP: 46.119.142.202 | Country: error | 88888888888888888888
L 12/17/2020 - 22:08:04: Nick: 156345242343242423423 | ID: STEAM_1:0:1429286688 | IP: 188.190.221.168 | Country: error | The advertisement was in the name...
L 12/18/2020 - 14:28:34: Nick: тёма | ID: STEAM_1:0:1115420974 | IP: 109.174.112.120 | Country: error | 33333333333333333333333333333333344443543
L 12/18/2020 - 14:31:55: Nick: тёма | ID: STEAM_1:0:1115420974 | IP: 109.174.112.120 | Country: error | 33333333333333333333333333
L 12/18/2020 - 14:44:59: Nick: тёма | ID: STEAM_1:0:1115420974 | IP: 109.174.112.120 | Country: error | 3333333333333
L 12/18/2020 - 14:48:18: Nick: Nesquik | ID: STEAM_1:0:1658253266 | IP: 79.104.200.134 | Country: error | 888888888888888888888888888888
L 12/18/2020 - 15:18:47: Nick: _-_-(^_^)НаРк(^_^)-_-_ | ID: STEAM_1:0:332759303 | IP: 134.255.147.20 | Country: error | 10000000000000 руб
L 12/18/2020 - 16:24:45: Nick: BOMBist | ID: STEAM_1:0:525850215 | IP: 178.44.97.213 | Country: error | 18,666666666666666
L 12/18/2020 - 16:25:13: Nick: BOMBist | ID: STEAM_1:0:525850215 | IP: 178.44.97.213 | Country: error | 1.87.55.565:2457
L 12/18/2020 - 16:25:45: Nick: BOMBist | ID: STEAM_1:0:525850215 | IP: 178.44.97.213 | Country: error | 746.556.565.9:2456)))
L 12/18/2020 - 17:46:18: Nick: _Fokusnik_ | ID: STEAM_1:0:1713497948 | IP: 37.21.176.225 | Country: error | 22222222222222222222222
L 12/18/2020 - 20:50:38: Nick: jenika 61 | ID: STEAM_1:0:1019377618 | IP: 87.117.56.51 | Country: error | 7777777777777
L 12/18/2020 - 21:27:15: Nick: jenika 61 | ID: STEAM_1:0:1019377618 | IP: 87.117.56.51 | Country: error | 77777777777777777
L 12/19/2020 - 13:44:10: Nick: jenika 61 | ID: STEAM_1:0:1019377618 | IP: 87.117.56.51 | Country: error | 77777777777777
L 12/19/2020 - 20:11:12: Nick: (1st)_killka_ | ID: STEAM_1:0:1972898499 | IP: 46.174.66.251 | Country: error | нн6ннн6666666666666666666666666666666666666666666666666666666
L 12/19/2020 - 20:11:18: Nick: (1st)_killka_ | ID: STEAM_1:0:1972898499 | IP: 46.174.66.251 | Country: error | 666666666666
